userid,character,acquired_date,acquired_milestone,acquired,first_seen_date,first_seen_milestone,row_index,col_index,sub_row,char_type,label
1081965992,aɪ,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,-2,1,0,diphthong,aɪ (PRICE)
1081965992,ɔɪ,2025-11-18T05:48:54Z,7,1,2025-11-06T06:19:37Z,7,-2,2,0,diphthong,ɔɪ (CHOICE)
1081965992,aʊ,2025-10-25T04:02:29Z,5,1,2025-10-17T08:13:46Z,3,-2,4,0,diphthong,aʊ (MOUTH)
1081965992,æ,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,-1,0,3,vowel,æ (TRAP)
1081965992,ɪ,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,-1,0,1,vowel,ɪ (KIT)
1081965992,ɛ,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,-1,0,2,vowel,ɛ (DRESS)
1081965992,e,2025-10-17T08:13:46Z,4,1,2025-10-16T05:39:54Z,0,-1,0,2,vowel,e (DRESS short)
1081965992,a,2025-10-24T06:23:08Z,4,1,2025-10-24T06:23:08Z,4,-1,0,4,vowel,a (short a)
1081965992,ə,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,-1,1,2,vowel,ə (schwa)
1081965992,ɑː,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,-1,2,4,vowel,ɑː (PALM/START)
1081965992,ʊ,2025-11-18T05:48:54Z,7,1,2025-10-16T05:39:54Z,0,-1,2,1,vowel,ʊ (FOOT)
1081965992,ɔː,2025-10-17T07:52:12Z,3,1,2025-10-17T07:52:12Z,2,-1,2,2,vowel,ɔː (THOUGHT)
1081965992,b,2025-10-27T06:52:53Z,5,1,2025-10-16T05:39:54Z,0,0,0,0,consonant,b (voiced bilabial)
1081965992,p,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,0,0,0,consonant,p (voiceless bilabial)
1081965992,t,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,0,3,0,consonant,t (voiceless alveolar)
1081965992,d,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,0,3,0,consonant,d (voiced alveolar)
1081965992,ɡ,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,0,6,0,consonant,ɡ (voiced velar)
1081965992,k,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,0,6,0,consonant,k (voiceless velar)
1081965992,m,2025-10-17T07:52:12Z,3,1,2025-10-16T05:39:54Z,0,1,0,0,consonant,m (bilabial nasal)
